,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,9.99,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,73.67,0.0,0.0,0,3999
1,1.0,10.18,0.0,0.0,0.0,0.0,66.93,0.0,0.0,0.0,0.0,0.0,0.0,75.56,0.0,0.0,0,47999
2,2.0,10.12,0.0,0.0,0.0,0.0,66.24,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0,59999
3,3.0,10.04,0.0,0.0,0.0,0.0,66.08,0.0,0.0,0.0,0.0,0.0,0.0,74.53,0.0,0.0,0,11999
4,4.0,10.13,0.0,0.0,0.0,0.0,66.47,0.0,0.0,0.0,0.0,0.0,0.0,75.37,0.0,0.0,0,39999
5,5.0,10.12,0.0,0.0,0.0,0.0,66.71,0.0,0.0,0.0,0.0,0.0,0.0,74.95,0.0,0.0,0,15999
6,6.0,10.1,0.0,0.0,0.0,0.0,65.92,0.0,0.0,0.0,0.0,0.0,0.0,75.52,0.0,0.0,0,51999
7,7.0,10.12,0.0,0.0,0.0,0.0,65.95,0.0,0.0,0.0,0.0,0.0,0.0,75.72,0.0,0.0,0,43999
8,8.0,10.12,0.0,0.0,0.0,0.0,66.51,0.0,0.0,0.0,0.0,0.0,0.0,75.17,0.0,0.0,0,31999
9,9.0,10.09,0.0,0.0,0.0,0.0,66.55,0.0,0.0,0.0,0.0,0.0,0.0,74.72,0.0,0.0,0,19999
10,10.0,10.14,0.0,0.0,0.0,0.0,66.28,0.0,0.0,0.0,0.0,0.0,0.0,75.73,0.0,0.0,0,55999
11,11.0,10.09,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,75.11,0.0,0.0,0,35999
12,12.0,10.05,0.0,0.0,0.0,0.0,66.44,0.0,0.0,0.0,0.0,0.0,0.0,74.32,0.0,0.0,0,7999
13,13.0,10.13,0.0,0.0,0.0,0.0,66.55,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0,27999
14,14.0,10.11,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,75.14,0.0,0.0,0,23999
15,,10.16,0.00,0.00,0.00,0.00,66.64,0.00,0.00,0.00,0.00,0.00,0.00,75.56,0.00,0.00,0,115999
16,,10.20,0.00,0.00,0.00,0.00,67.17,0.00,0.00,0.00,0.00,0.00,0.00,75.64,0.00,0.00,0,151999
17,,10.20,0.00,0.00,0.00,0.00,67.22,0.00,0.00,0.00,0.00,0.00,0.00,75.58,0.00,0.00,0,143999
18,,10.18,0.00,0.00,0.00,0.00,66.86,0.00,0.00,0.00,0.00,0.00,0.00,75.72,0.00,0.00,0,127999
19,,10.15,0.00,0.00,0.00,0.00,66.69,0.00,0.00,0.00,0.00,0.00,0.00,75.39,0.00,0.00,0,91999
20,,10.14,0.00,0.00,0.00,0.00,66.47,0.00,0.00,0.00,0.00,0.00,0.00,75.51,0.00,0.00,0,67999
21,,10.16,0.00,0.00,0.00,0.00,66.75,0.00,0.00,0.00,0.00,0.00,0.00,75.55,0.00,0.00,0,87999
22,,10.15,0.00,0.00,0.00,0.00,66.51,0.00,0.00,0.00,0.00,0.00,0.00,75.62,0.00,0.00,0,95999
23,,10.20,0.00,0.00,0.00,0.00,67.16,0.00,0.00,0.00,0.00,0.00,0.00,75.68,0.00,0.00,0,139999
24,,10.26,0.00,0.00,0.00,0.00,67.73,0.00,0.00,0.00,0.00,0.00,0.00,75.88,0.00,0.00,0,171999
25,,10.14,0.00,0.00,0.00,0.00,66.45,0.00,0.00,0.00,0.00,0.00,0.00,75.47,0.00,0.00,0,111999
26,,10.17,0.00,0.00,0.00,0.00,66.72,0.00,0.00,0.00,0.00,0.00,0.00,75.65,0.00,0.00,0,99999
27,,10.18,0.00,0.00,0.00,0.00,66.78,0.00,0.00,0.00,0.00,0.00,0.00,75.74,0.00,0.00,0,131999
28,,10.19,0.00,0.00,0.00,0.00,66.83,0.00,0.00,0.00,0.00,0.00,0.00,75.76,0.00,0.00,0,107999
29,,10.22,0.00,0.00,0.00,0.00,67.21,0.00,0.00,0.00,0.00,0.00,0.00,75.83,0.00,0.00,0,123999
30,,10.19,0.00,0.00,0.00,0.00,66.89,0.00,0.00,0.00,0.00,0.00,0.00,75.78,0.00,0.00,0,147999
31,,10.18,0.00,0.00,0.00,0.00,66.81,0.00,0.00,0.00,0.00,0.00,0.00,75.77,0.00,0.00,0,103999
32,,10.26,0.00,0.00,0.00,0.00,67.72,0.00,0.00,0.00,0.00,0.00,0.00,75.90,0.00,0.00,0,159999
33,,10.24,0.00,0.00,0.00,0.00,67.40,0.00,0.00,0.00,0.00,0.00,0.00,75.90,0.00,0.00,0,175999
34,,10.18,0.00,0.00,0.00,0.00,66.83,0.00,0.00,0.00,0.00,0.00,0.00,75.71,0.00,0.00,0,79999
35,,10.26,0.00,0.00,0.00,0.00,67.75,0.00,0.00,0.00,0.00,0.00,0.00,75.83,0.00,0.00,0,167999
36,,10.19,0.00,0.00,0.00,0.00,66.94,0.00,0.00,0.00,0.00,0.00,0.00,75.73,0.00,0.00,0,83999
37,,10.23,0.00,0.00,0.00,0.00,67.43,0.00,0.00,0.00,0.00,0.00,0.00,75.76,0.00,0.00,0,155999
38,,10.11,0.00,0.00,0.00,0.00,66.03,0.00,0.00,0.00,0.00,0.00,0.00,75.57,0.00,0.00,0,71999
39,,10.14,0.00,0.00,0.00,0.00,66.46,0.00,0.00,0.00,0.00,0.00,0.00,75.57,0.00,0.00,0,63999
40,,10.28,0.00,0.00,0.00,0.00,67.88,0.00,0.00,0.00,0.00,0.00,0.00,75.97,0.00,0.00,0,163999
41,,10.19,0.00,0.00,0.00,0.00,66.87,0.00,0.00,0.00,0.00,0.00,0.00,75.80,0.00,0.00,0,119999
42,,10.18,0.00,0.00,0.00,0.00,66.87,0.00,0.00,0.00,0.00,0.00,0.00,75.68,0.00,0.00,0,75999
43,,10.19,0.00,0.00,0.00,0.00,66.87,0.00,0.00,0.00,0.00,0.00,0.00,75.81,0.00,0.00,0,135999
