,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
0,0.0,0.0,15.55,0.0,0.0,0.0,0.0,65.75,0.0,74.17,0.0,0.0,0,3999,,,,,
1,1.0,1.0,15.65,0.0,0.0,0.0,0.0,66.16,0.0,74.69,0.0,0.0,0,67999,,,,,
2,2.0,2.0,15.71,0.0,0.0,0.0,0.0,66.32,0.0,75.08,0.0,0.0,0,47999,,,,,
3,3.0,3.0,15.68,0.0,0.0,0.0,0.0,66.37,0.0,74.79,0.0,0.0,0,59999,,,,,
4,4.0,4.0,15.73,0.0,0.0,0.0,0.0,66.39,0.0,75.2,0.0,0.0,0,11999,,,,,
5,5.0,5.0,15.73,0.0,0.0,0.0,0.0,66.47,0.0,75.08,0.0,0.0,0,39999,,,,,
6,6.0,6.0,15.76,0.0,0.0,0.0,0.0,66.76,0.0,75.05,0.0,0.0,0,15999,,,,,
7,7.0,7.0,15.71,0.0,0.0,0.0,0.0,66.44,0.0,74.98,0.0,0.0,0,51999,,,,,
8,8.0,8.0,15.75,0.0,0.0,0.0,0.0,66.65,0.0,75.11,0.0,0.0,0,43999,,,,,
9,9.0,9.0,15.8,0.0,0.0,0.0,0.0,66.69,0.0,75.54,0.0,0.0,0,31999,,,,,
10,10.0,10.0,15.75,0.0,0.0,0.0,0.0,66.59,0.0,75.13,0.0,0.0,0,19999,,,,,
11,11.0,11.0,15.71,0.0,0.0,0.0,0.0,66.42,0.0,75.01,0.0,0.0,0,55999,,,,,
12,12.0,12.0,15.65,0.0,0.0,0.0,0.0,66.23,0.0,74.61,0.0,0.0,0,79999,,,,,
13,13.0,13.0,15.75,0.0,0.0,0.0,0.0,66.45,0.0,75.31,0.0,0.0,0,35999,,,,,
14,14.0,14.0,15.67,0.0,0.0,0.0,0.0,66.34,0.0,74.69,0.0,0.0,0,7999,,,,,
15,15.0,15.0,15.56,0.0,0.0,0.0,0.0,65.6,0.0,74.45,0.0,0.0,0,83999,,,,,
16,16.0,16.0,15.75,0.0,0.0,0.0,0.0,66.59,0.0,75.15,0.0,0.0,0,27999,,,,,
17,17.0,17.0,15.64,0.0,0.0,0.0,0.0,66.18,0.0,74.59,0.0,0.0,0,71999,,,,,
18,18.0,18.0,15.68,0.0,0.0,0.0,0.0,66.36,0.0,74.78,0.0,0.0,0,63999,,,,,
19,19.0,19.0,15.75,0.0,0.0,0.0,0.0,66.49,0.0,75.28,0.0,0.0,0,23999,,,,,
20,20.0,20.0,15.57,0.0,0.0,0.0,0.0,65.55,0.0,74.58,0.0,0.0,0,75999,,,,,
21,21.0,,14.86,0.0,0.0,0.0,0.0,63.58,0.0,70.18,0.0,0.0,0,223999,,,,,
22,22.0,,14.87,0.0,0.0,0.0,0.0,63.08,0.0,70.71,0.0,0.0,0,207999,,,,,
23,23.0,,15.47,0.0,0.0,0.0,0.0,65.46,0.0,73.81,0.0,0.0,0,115999,,,,,
24,24.0,,15.25,0.0,0.0,0.0,0.0,64.53,0.0,72.75,0.0,0.0,0,151999,,,,,
25,25.0,,15.3,0.0,0.0,0.0,0.0,64.85,0.0,72.89,0.0,0.0,0,143999,,,,,
26,26.0,,15.42,0.0,0.0,0.0,0.0,65.26,0.0,73.49,0.0,0.0,0,127999,,,,,
27,27.0,,14.8,0.0,0.0,0.0,0.0,63.16,0.0,70.04,0.0,0.0,0,231999,,,,,
28,28.0,,15.5,0.0,0.0,0.0,0.0,65.43,0.0,74.1,0.0,0.0,0,91999,,,,,
29,29.0,,15.54,0.0,0.0,0.0,0.0,65.5,0.0,74.33,0.0,0.0,0,87999,,,,,
30,30.0,,15.5,0.0,0.0,0.0,0.0,65.35,0.0,74.14,0.0,0.0,0,95999,,,,,
31,31.0,,15.15,0.0,0.0,0.0,0.0,64.51,0.0,71.83,0.0,0.0,0,179999,,,,,
32,32.0,,15.36,0.0,0.0,0.0,0.0,65.07,0.0,73.21,0.0,0.0,0,139999,,,,,
33,33.0,,15.03,0.0,0.0,0.0,0.0,63.99,0.0,71.31,0.0,0.0,0,191999,,,,,
34,34.0,,14.78,0.0,0.0,0.0,0.0,63.4,0.0,69.64,0.0,0.0,0,235999,,,,,
35,35.0,,15.22,0.0,0.0,0.0,0.0,64.77,0.0,72.22,0.0,0.0,0,171999,,,,,
36,36.0,,14.67,0.0,0.0,0.0,0.0,62.49,0.0,69.53,0.0,0.0,0,239999,,,,,
37,37.0,,15.51,0.0,0.0,0.0,0.0,65.56,0.0,74.05,0.0,0.0,0,111999,,,,,
38,38.0,,15.52,0.0,0.0,0.0,0.0,65.62,0.0,74.04,0.0,0.0,0,99999,,,,,
39,39.0,,15.36,0.0,0.0,0.0,0.0,64.84,0.0,73.37,0.0,0.0,0,131999,,,,,
40,40.0,,14.99,0.0,0.0,0.0,0.0,63.85,0.0,71.02,0.0,0.0,0,203999,,,,,
41,41.0,,15.02,0.0,0.0,0.0,0.0,63.45,0.0,71.7,0.0,0.0,0,183999,,,,,
42,42.0,,15.53,0.0,0.0,0.0,0.0,65.63,0.0,74.16,0.0,0.0,0,107999,,,,,
43,43.0,,15.49,0.0,0.0,0.0,0.0,65.65,0.0,73.72,0.0,0.0,0,123999,,,,,
44,44.0,,14.92,0.0,0.0,0.0,0.0,63.71,0.0,70.57,0.0,0.0,0,215999,,,,,
45,45.0,,15.31,0.0,0.0,0.0,0.0,64.91,0.0,72.86,0.0,0.0,0,147999,,,,,
46,46.0,,15.53,0.0,0.0,0.0,0.0,65.67,0.0,74.12,0.0,0.0,0,103999,,,,,
47,47.0,,15.22,0.0,0.0,0.0,0.0,64.34,0.0,72.63,0.0,0.0,0,159999,,,,,
48,48.0,,15.06,0.0,0.0,0.0,0.0,64.13,0.0,71.39,0.0,0.0,0,187999,,,,,
49,49.0,,15.0,0.0,0.0,0.0,0.0,64.01,0.0,71.02,0.0,0.0,0,199999,,,,,
50,50.0,,15.13,0.0,0.0,0.0,0.0,64.18,0.0,71.97,0.0,0.0,0,175999,,,,,
51,51.0,,14.98,0.0,0.0,0.0,0.0,63.82,0.0,70.97,0.0,0.0,0,195999,,,,,
52,52.0,,14.69,0.0,0.0,0.0,0.0,62.78,0.0,69.4,0.0,0.0,0,243999,,,,,
53,53.0,,15.25,0.0,0.0,0.0,0.0,65.06,0.0,72.19,0.0,0.0,0,167999,,,,,
54,54.0,,15.25,0.0,0.0,0.0,0.0,64.8,0.0,72.44,0.0,0.0,0,155999,,,,,
55,55.0,,14.94,0.0,0.0,0.0,0.0,63.79,0.0,70.65,0.0,0.0,0,211999,,,,,
56,56.0,,14.89,0.0,0.0,0.0,0.0,63.58,0.0,70.41,0.0,0.0,0,219999,,,,,
57,57.0,,14.83,0.0,0.0,0.0,0.0,63.21,0.0,70.24,0.0,0.0,0,227999,,,,,
58,58.0,,15.19,0.0,0.0,0.0,0.0,64.33,0.0,72.41,0.0,0.0,0,163999,,,,,
59,59.0,,15.49,0.0,0.0,0.0,0.0,65.46,0.0,73.96,0.0,0.0,0,119999,,,,,
60,60.0,,15.38,0.0,0.0,0.0,0.0,65.27,0.0,73.18,0.0,0.0,0,135999,,,,,
61,,,9.34,0.00,0.00,0.00,0.00,62.31,0.00,68.45,0.00,0.00,0,271999,0.00,0.00,0.00,0.00,0.00
62,,,9.33,0.00,0.00,0.00,0.00,62.24,0.00,68.43,0.00,0.00,0,263999,0.00,0.00,0.00,0.00,0.00
63,,,9.37,0.00,0.00,0.00,0.00,62.47,0.00,68.70,0.00,0.00,0,259999,0.00,0.00,0.00,0.00,0.00
64,,,9.40,0.00,0.00,0.00,0.00,62.47,0.00,69.16,0.00,0.00,0,251999,0.00,0.00,0.00,0.00,0.00
65,,,9.37,0.00,0.00,0.00,0.00,62.76,0.00,68.45,0.00,0.00,0,267999,0.00,0.00,0.00,0.00,0.00
66,,,9.39,0.00,0.00,0.00,0.00,62.73,0.00,68.80,0.00,0.00,0,255999,0.00,0.00,0.00,0.00,0.00
67,,,9.30,0.00,0.00,0.00,0.00,62.02,0.00,68.18,0.00,0.00,0,275999,0.00,0.00,0.00,0.00,0.00
68,,,9.43,0.00,0.00,0.00,0.00,62.66,0.00,69.38,0.00,0.00,0,247999,0.00,0.00,0.00,0.00,0.00
